what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1401555795025
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1401555795025
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1401555795026
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1401555795026
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1401555795026
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1401555795027
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1401555795027
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1401555795028
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1401555795028
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1401555795029
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1401555795029
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1401555795030
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1401555795030
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1401555795030
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1401555795031
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1401555795031
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1401555795031
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1401555795032
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1401555795040
started,bundle,net.sf.eclipsecs.core,5.1.1.201008161956,"net.sf.eclipsecs.core",1401555795040
started,bundle,net.sf.eclipsecs.ui,5.1.1.201008161956,"net.sf.eclipsecs.ui",1401555795042
started,bundle,net.sf.webcat.eclipse.cxxtest,1.7.0,"net.sf.webcat.eclipse.cxxtest",1401555795042
started,bundle,net.sf.webcat.eclipse.submitter,1.4.3.201101121126,"net.sf.webcat.eclipse.submitter",1401555795084
os,sysinfo,,,"macosx",1401555795088
arch,sysinfo,,,"x86",1401555795088
ws,sysinfo,,,"cocoa",1401555795088
locale,sysinfo,,,"en_US",1401555795088
processors,sysinfo,,,"4",1401555795088
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1401555795088
java.runtime.version,sysinfo,,,"1.6.0_65-b14-462-11M4609",1401555795088
java.specification.name,sysinfo,,,"Java Platform API Specification",1401555795088
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1401555795088
java.specification.version,sysinfo,,,"1.6",1401555795088
java.vendor,sysinfo,,,"Apple Inc.",1401555795088
java.version,sysinfo,,,"1.6.0_65",1401555795088
java.vm.info,sysinfo,,,"mixed mode",1401555795088
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1401555795088
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1401555795088
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1401555795088
java.vm.specification.version,sysinfo,,,"1.0",1401555795088
java.vm.vendor,sysinfo,,,"Apple Inc.",1401555795088
java.vm.version,sysinfo,,,"20.65-b04-462",1401555795088
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401555801710
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1401555824950
started,bundle,org.eclipse.jdt.launching.macosx,3.2.100.v20100505,"org.eclipse.jdt.launching.macosx",1401555825051
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1401555830236
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1401555831648
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1401555846912
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1401555846996
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401556044483
